"TP1_1" "TP1_2" "TP2_1" "TP2_2" "TP3_1" "TP3_2" "TP4_1" "TP4_2"
"gene_1" 665 721 1160 1330 628 599 775 485
"gene_2" 50 46 8 10 0 0 32 156
"gene_3" 900 595 1070 1366 872 862 942 791
"gene_4" 2866 2886 3116 3122 3853 3366 2442 2751
"gene_5" 18 6 0 0 3 24 0 0
"gene_6" 2255 2186 3418 3101 3313 2413 4749 3637
"gene_7" 62 66 124 111 208 137 132 123
"gene_8" 2232 1844 1587 1861 2111 2053 875 925
"gene_9" 1781 1656 1918 1799 2169 2173 2323 1689
"gene_10" 9168 10681 8644 7462 7642 7902 8263 5629
"gene_11" 4943 5571 4354 4272 4531 5340 3581 4690
"gene_12" 687 673 701 997 705 744 986 861
"gene_13" 0 0 0 0 0 0 10 22
"gene_14" 2687 2667 4352 2865 1480 1501 3229 3460
"gene_15" 0 0 3 0 23 8 4 4
"gene_16" 10 22 26 8 18 15 18 65
"gene_17" 971 1212 788 1022 644 586 699 937
"gene_18" 37 36 36 26 84 31 262 87
"gene_19" 29 14 13 41 29 21 4 12
"gene_20" 309 320 197 222 188 138 168 202
"gene_21" 382 538 329 454 390 221 374 444
"gene_22" 1113 1324 2512 2439 2079 1696 1277 1355
"gene_23" 5295 7434 7416 6742 5911 4939 5520 4515
"gene_24" 552 544 352 430 810 627 639 651
"gene_25" 995 952 993 765 985 1122 830 841
"gene_26" 49 13 36 22 9 9 20 12
"gene_27" 5288 4876 5999 5936 5368 4490 5575 6457
"gene_28" 177 272 336 334 274 144 169 120
"gene_29" 9267 15633 12947 13971 13190 11003 10927 13757
"gene_30" 2925 2634 2458 2820 1676 1798 2110 2075
"gene_31" 1935 1598 1702 1197 1345 1351 1949 1960
"gene_32" 1303 1268 1858 1701 895 1315 1207 1115
"gene_33" 5213 4331 2857 3057 4297 3100 4170 3836
"gene_34" 4 2 0 0 9 22 0 0
"gene_35" 385 338 463 439 728 411 931 1234
"gene_36" 4757 4859 5800 5983 2996 3488 5070 4798
"gene_37" 7114 6153 2716 3157 4079 4640 4841 3771
"gene_38" 12716 13290 8428 9071 14920 10321 9798 9454
"gene_39" 1014 632 615 436 396 530 474 727
"gene_40" 5368 5844 5603 6396 5371 4567 6530 8144
"gene_41" 521 520 955 448 305 373 552 298
"gene_42" 747 481 997 955 950 840 1270 925
"gene_43" 456 471 605 371 355 279 483 271
"gene_44" 48 120 52 24 44 41 31 13
"gene_45" 6690 6618 6805 6683 6337 5650 6572 4877
"gene_46" 15 8 98 109 40 48 69 51
"gene_47" 1081 1899 2418 2670 1722 2110 2201 1524
"gene_48" 35 72 34 43 25 55 34 59
"gene_49" 676 449 597 609 457 520 361 335
"gene_50" 1002 617 765 629 876 662 1325 955
"gene_51" 1006 993 938 1289 1428 1030 1577 1395
"gene_52" 173 161 133 125 91 153 161 94
"gene_53" 36 25 7 9 22 6 15 7
"gene_54" 442 355 375 350 429 404 361 262
"gene_55" 1587 1641 2376 2047 1409 1350 1403 1512
"gene_56" 1941 2160 2671 1971 2156 2543 2436 1796
"gene_57" 35 16 40 59 64 66 36 54
"gene_58" 506 347 387 459 847 747 465 593
"gene_59" 0 0 0 0 6 13 2 4
"gene_60" 352 306 105 221 199 227 349 361
"gene_61" 184 182 344 480 294 351 54 43
"gene_62" 513 791 646 615 449 559 857 892
"gene_63" 1612 1358 1993 1732 1463 1453 1722 1743
"gene_64" 4616 2794 5858 5109 2087 2273 3817 3276
"gene_65" 3338 3387 2309 2326 2692 2626 2652 3063
"gene_66" 9958 9392 10396 8885 10114 12920 9761 8788
"gene_67" 494 416 517 725 577 809 756 750
"gene_68" 5812 3735 8325 8299 5109 4297 6976 6752
"gene_69" 1384 1532 2319 2141 1190 1505 1436 1411
