"V1" "V2" "V11" "V12" "V21" "V22" "V31" "V32"
"1" 1436 1600 1128 844 701 479 642 820
"2" 91 71 50 62 0 0 43 36
"3" 1913 1411 1165 688 748 947 850 849
"4" 5594 5056 3385 2676 2006 2650 2943 2340
"5" 22 12 2 6 9 11 0 0
"6" 5339 5579 3762 3535 2741 2539 3165 3063
"7" 378 260 138 159 175 192 196 240
"8" 3321 3034 2081 1419 1762 1769 774 1020
"9" 3952 4633 2353 2309 1753 2183 2335 2055
"10" 13018 16411 9498 6876 5949 6929 7143 5008
"11" 9722 12086 8677 6852 4820 6117 4102 4396
"12" 1008 1447 1085 1180 632 860 1129 549
"13" 0 4 2 1 0 0 2 11
"14" 5787 5327 3428 3029 1497 1774 3892 3417
"15" 22 14 6 14 7 23 2 15
"16" 71 46 22 34 28 19 91 18
"17" 1478 1480 968 1134 502 382 782 725
"18" 121 179 37 103 33 71 170 236
"19" 34 53 50 42 4 24 3 10
"20" 484 609 375 342 201 314 209 171
"21" 1128 1110 487 546 292 406 656 565
"22" 3693 2621 1420 1641 1914 2032 1428 1327
"23" 14535 12361 7961 6631 6918 5823 6704 4531
"24" 1195 1280 650 883 707 1234 530 460
"25" 1888 1951 1009 1173 1310 803 889 970
"26" 32 30 14 15 16 13 6 2
"27" 13811 12631 7264 6755 5319 5036 7757 7684
"28" 428 563 445 365 227 140 113 105
"29" 28810 21214 15353 13385 15357 12230 13292 13884
"30" 5076 4377 2263 3232 2015 1795 1694 1769
"31" 3981 3149 2297 1886 1473 1623 2172 1869
"32" 2000 3362 1773 1952 1118 1323 1296 1100
"33" 9068 6586 5554 5727 3287 4592 2865 2900
"34" 14 19 3 2 7 12 0 0
"35" 1430 1337 751 746 326 630 963 1305
"36" 9609 10270 6706 6528 3878 3729 4766 5928
"37" 8301 11461 6777 6871 4403 4864 5854 6270
"38" 15640 23759 13983 15099 10573 7704 9007 8867
"39" 1356 1258 626 711 343 468 766 836
"40" 9927 11702 7031 6934 5274 4841 6788 7753
"41" 711 1121 706 465 293 342 412 296
"42" 1492 1812 1097 1268 580 534 1180 1211
"43" 770 720 406 468 346 354 346 338
"44" 47 117 78 103 46 45 24 12
