"TP1_1" "TP1_2" "TP1_3" "TP2_1" "TP2_2" "TP2_3" "TP3_1" "TP3_2" "TP3_3" "TP4_1" "TP4_2" "TP4_3"
"gene_1" 605 655 915 1055 1209 988 571 545 558 705 441 755
"gene_2" 45 42 45 7 9 13 0 0 0 29 142 45
"gene_3" 818 541 603 973 1242 705 793 784 718 856 719 871
"gene_4" 2605 2624 2959 2833 2838 2694 3503 3060 2194 2220 2501 2752
"gene_5" 16 5 5 0 0 0 3 22 5 0 0 0
"gene_6" 2050 1987 2367 3107 2819 2014 3012 2194 1979 4317 3306 4002
"gene_7" 56 60 68 113 101 133 189 125 145 120 112 163
"gene_8" 2029 1676 1618 1443 1692 1585 1919 1866 2405 795 841 581
"gene_9" 1619 1505 2323 1744 1635 1547 1972 1975 1514 2112 1535 1745
"gene_10" 8335 9710 9367 7858 6784 6991 6947 7184 7775 7512 5117 6483
"gene_11" 4494 5065 6037 3958 3884 4410 4119 4855 5791 3255 4264 3488
"gene_12" 625 612 652 637 906 626 641 676 640 896 783 1019
"gene_13" 0 0 0 0 0 0 0 0 0 9 20 0
"gene_14" 2443 2425 1932 3956 2605 2807 1345 1365 1798 2935 3145 4022
"gene_15" 0 0 0 3 0 5 21 7 16 4 4 13
"gene_16" 9 20 7 24 7 20 16 14 31 16 59 75
"gene_17" 883 1102 681 716 929 1211 585 533 436 635 852 624
"gene_18" 34 33 16 33 24 70 76 28 47 238 79 96
"gene_19" 26 13 19 12 37 25 26 19 13 4 11 8
"gene_20" 281 291 321 179 202 165 171 125 405 153 184 186
"gene_21" 347 489 292 299 413 505 355 201 346 340 404 469
"gene_22" 1012 1204 1280 2284 2217 2022 1890 1542 1724 1161 1232 1237
"gene_23" 4814 6758 5787 6742 6129 4675 5374 4490 4988 5018 4105 5103
"gene_24" 502 495 677 320 391 323 736 570 1205 581 592 401
"gene_25" 905 865 898 903 695 694 895 1020 740 755 765 833
"gene_26" 45 12 14 33 20 24 8 8 7 18 11 11
"gene_27" 4807 4433 4439 5454 5396 5457 4880 4082 4141 5068 5870 5055
"gene_28" 161 247 238 305 304 284 249 131 194 154 109 87
"gene_29" 8425 14212 8575 11770 12701 12981 11991 10003 11604 9934 12506 10375
"gene_30" 2659 2395 2621 2235 2564 2476 1524 1635 1585 1918 1886 1622
"gene_31" 1759 1453 1552 1547 1088 1726 1223 1228 1303 1772 1782 1816
"gene_32" 1185 1153 925 1689 1546 1686 814 1195 1271 1097 1014 1317
"gene_33" 4739 3937 5347 2597 2779 2991 3906 2818 3324 3791 3487 3135
"gene_34" 4 2 0 0 0 0 8 20 14 0 0 0
"gene_35" 350 307 352 421 399 452 662 374 324 846 1122 704
"gene_36" 4325 4417 3954 5273 5439 4982 2724 3171 4103 4609 4362 4293
"gene_37" 6467 5594 5208 2469 2870 3001 3708 4218 4585 4401 3428 6380
"gene_38" 11560 12082 13555 7662 8246 8258 13564 9383 11926 8907 8595 7001
"gene_39" 922 575 635 559 396 559 360 482 230 431 661 505
"gene_40" 4880 5313 4581 5094 5815 7253 4883 4152 3991 5936 7404 6022
"gene_41" 474 473 591 868 407 415 277 339 330 502 271 532
"gene_42" 679 437 716 906 868 765 864 764 940 1155 841 1132
"gene_43" 415 428 354 550 337 534 323 254 383 439 246 298
"gene_44" 44 109 40 47 22 56 40 37 34 28 12 31
"gene_45" 6082 6016 4422 6186 6075 4487 5761 5136 4300 5975 4434 6255
"gene_46" 14 7 5 89 99 55 36 44 26 63 46 50
"gene_47" 983 1726 1510 2198 2427 2229 1565 1918 1399 2001 1385 1825
"gene_48" 32 65 59 31 39 69 23 50 28 31 54 41
"gene_49" 615 408 683 543 554 345 415 473 465 328 305 291
"gene_50" 911 561 672 695 572 834 796 602 782 1205 868 1035
"gene_51" 915 903 694 853 1172 771 1298 936 996 1434 1268 1225
"gene_52" 157 146 183 121 114 98 83 139 118 146 85 74
"gene_53" 33 23 26 6 8 8 20 5 14 14 6 6
"gene_54" 402 323 386 341 318 335 390 367 291 328 238 327
"gene_55" 1443 1492 1636 2160 1861 1645 1281 1227 1514 1275 1375 1644
"gene_56" 1765 1964 2060 2428 1792 1894 1960 2312 1698 2215 1633 1824
"gene_57" 32 15 60 36 54 43 58 60 85 33 49 49
"gene_58" 460 315 359 352 417 581 770 679 812 423 539 920
"gene_59" 0 0 0 0 0 0 5 12 3 2 4 9
"gene_60" 320 278 316 95 201 209 181 206 231 317 328 220
"gene_61" 167 165 90 313 436 269 267 319 164 49 39 89
"gene_62" 466 719 802 587 559 585 408 508 453 779 811 657
"gene_63" 1465 1235 1380 1812 1575 1817 1330 1321 1466 1565 1585 1473
"gene_64" 4196 2540 3201 5325 4645 4356 1897 2066 1667 3470 2978 3310
"gene_65" 3035 3079 3218 2099 2115 1960 2447 2387 2645 2411 2785 2676
"gene_66" 9053 8538 9584 9451 8077 8324 9195 11745 9163 8874 7989 7685
"gene_67" 449 378 383 470 659 463 525 735 608 687 682 538
"gene_68" 5284 3395 3425 7568 7545 7101 4645 3906 4216 6342 6138 3488
"gene_69" 1258 1393 1902 2108 1946 1940 1082 1368 1783 1305 1283 1228
"gene_70" 2444 2085 2265 2045 2137 2033 2517 2613 2322 3186 4544 2011
"gene_71" 145 164 209 290 223 347 131 160 203 295 262 418
"gene_72" 235 149 164 115 105 269 204 193 96 170 201 187
"gene_73" 303 375 327 308 403 368 392 398 585 422 410 371
"gene_74" 28 43 38 96 87 97 21 14 12 56 78 13
"gene_75" 1788 1667 1480 1374 1498 1139 1473 1429 1497 2064 1875 2277
"gene_76" 1836 1941 1853 1925 1849 1950 1696 2005 1643 1827 1721 1788
"gene_77" 195 141 220 75 91 195 32 30 35 189 76 88
"gene_78" 445 446 568 336 235 275 448 380 421 310 373 303
"gene_79" 20 18 16 15 15 24 82 85 60 22 25 23
"gene_80" 166 63 126 125 45 78 174 137 129 67 46 135
"gene_81" 38 68 58 58 44 56 138 82 106 7 5 7
"gene_82" 934 873 951 825 922 740 524 621 682 722 1300 784
"gene_83" 1434 1451 1268 1234 1117 1085 922 938 931 961 865 837
"gene_84" 305 318 475 437 328 388 301 312 288 471 424 577
"gene_85" 840 1125 1025 1582 1420 1245 821 845 1483 1165 1135 1671
"gene_86" 210 156 185 56 90 96 56 122 94 151 124 95
"gene_87" 2283 1610 1299 1404 1786 1435 1479 1829 1051 1415 1735 1680
"gene_88" 4462 5333 4844 5740 4037 5560 4483 3913 3332 3679 4119 3821
"gene_89" 654 590 356 352 262 317 169 199 185 156 115 125
"gene_90" 2401 2435 3423 4001 3346 4695 3264 3691 3752 4235 3756 4380
"gene_91" 1047 853 1095 986 1033 763 1355 1207 1186 949 967 938
