"TP1_1" "TP1_2" "TP1_3" "TP2_1" "TP2_2" "TP2_3" "TP3_1" "TP3_2" "TP3_3" "TP4_1" "TP4_2" "TP4_3" "TP5_1" "TP5_2" "TP5_3" "TP6_1" "TP6_2" "TP6_3" "TP7_1" "TP7_2" "TP7_3" "TP8_1" "TP8_2" "TP8_3"
"gene_1" 10 18 16 7 20 5 0 0 0 0 0 0 7 1 4 1 6 7 43 37 66 67 57 33
"gene_2" 3643 3881 3960 3860 3773 3572 3168 2730 4560 1778 2825 3410 3707 3807 3763 3279 4530 3880 3424 3512 4685 3725 4005 4289
"gene_3" 683 899 1182 1204 1040 936 892 869 903 829 847 715 1207 1038 1271 1139 1326 1003 923 1143 1772 1329 1606 1757
"gene_4" 6 8 18 2 3 5 0 0 0 0 0 0 28 13 6 24 12 4 0 0 0 0 0 0
"gene_5" 238 162 161 178 228 148 252 221 185 192 276 194 222 291 270 303 289 386 324 322 327 227 205 268
"gene_6" 142 166 120 138 76 240 84 61 69 167 86 171 296 320 306 248 274 312 324 406 472 362 385 311
"gene_7" 532 834 838 543 582 691 601 378 561 837 450 333 998 692 714 977 1145 869 687 562 640 694 719 625
"gene_8" 60 19 52 18 44 106 52 46 38 68 62 123 108 96 65 90 183 207 54 64 53 58 51 50
"gene_9" 2016 1233 1126 1053 1416 1108 1275 1689 905 1132 1320 1381 821 1278 871 1076 863 1365 458 656 760 1160 816 1368
"gene_10" 929 1195 1314 1097 1038 855 443 585 517 340 444 452 659 751 556 518 496 526 768 871 575 664 494 644
"gene_11" 1 14 0 8 0 0 8 10 5 9 4 2 14 8 10 4 10 2 0 0 0 0 0 0
"gene_12" 430 306 698 536 515 423 246 260 348 197 291 245 115 190 129 211 139 113 210 153 118 165 121 131
"gene_13" 1232 1191 1502 1217 996 1414 1122 909 950 1008 1249 1005 1636 884 1857 1405 1237 1919 1046 1172 1422 1725 1151 1240
"gene_14" 642 507 706 708 853 719 573 494 656 639 615 610 486 761 510 296 355 442 455 296 139 934 622 572
"gene_15" 564 372 367 449 324 385 153 134 203 196 173 177 377 353 325 399 373 313 107 137 160 133 140 172
"gene_16" 342 406 459 364 317 259 268 200 264 215 238 318 470 397 372 428 404 367 275 222 229 266 224 174
"gene_17" 2 0 14 2 4 2 10 18 9 8 7 23 8 11 8 9 5 8 39 14 32 41 29 25
"gene_18" 1 6 4 5 8 14 16 10 3 10 4 8 2 4 11 12 12 2 22 8 7 3 1 5
"gene_19" 350 638 407 350 433 358 479 865 718 639 587 692 1434 1232 910 1597 1422 2016 882 1323 747 811 1055 705
"gene_20" 0 0 0 0 0 0 3 0 8 10 4 5 0 0 0 0 0 0 10 14 12 8 10 7
"gene_21" 567 622 392 417 393 240 567 407 498 396 401 453 518 523 809 588 486 581 1018 552 609 722 710 625
"gene_22" 72 62 113 64 44 31 92 60 94 102 36 46 58 26 21 25 9 22 90 130 137 198 150 118
"gene_23" 1261 1457 1130 1523 1084 1756 2606 3473 2203 2835 2894 3001 1528 1277 1574 1377 1483 1910 1661 2254 3229 2184 2396 1977
"gene_24" 373 326 425 630 478 750 501 399 467 320 527 361 194 479 511 480 427 291 356 629 516 525 432 607
"gene_25" 541 501 527 564 593 612 581 778 760 864 645 771 359 393 342 449 363 374 536 362 319 492 439 398
"gene_26" 290 365 502 340 416 534 245 342 316 649 380 306 230 245 399 358 416 340 404 347 475 365 565 389
"gene_27" 93 57 88 70 72 83 37 16 19 10 41 8 124 67 98 107 99 114 18 22 21 55 75 32
