"TP1_1" "TP1_2" "TP1_3" "TP2_1" "TP2_2" "TP2_3" "TP3_1" "TP3_2" "TP3_3" "TP4_1" "TP4_2" "TP4_3" "TP5_1" "TP5_2" "TP5_3" "TP6_1" "TP6_2" "TP6_3" "TP7_1" "TP7_2" "TP7_3" "TP8_1" "TP8_2" "TP8_3"
"gene_1" 19 37 24 20 21 38 5 19 26 6 7 21 6 12 4 4 6 6 28 60 21 25 50 65
"gene_2" 6944 7574 6843 6576 7448 7866 5045 5337 5128 4825 4473 3994 3791 4204 3318 3686 3864 4847 3877 3630 3885 4571 3836 3759
"gene_3" 1996 2493 2175 2709 2052 2435 1346 1506 769 1408 1580 1440 1302 1243 1278 1243 1556 1483 1221 1359 1363 1023 1364 1238
"gene_4" 24 5 2 16 8 14 15 2 2 6 2 18 11 6 6 1 10 21 0 0 0 0 0 0
"gene_5" 598 478 472 356 778 820 364 236 262 199 296 293 329 392 223 263 347 296 279 476 278 263 499 400
"gene_6" 439 595 373 398 391 390 338 147 220 280 316 262 284 256 241 294 244 425 286 405 248 388 439 257
"gene_7" 1550 1327 1247 1425 1638 1679 741 862 956 843 820 877 1089 831 1303 1022 972 878 499 640 611 638 834 744
"gene_8" 115 122 113 217 207 108 82 93 110 75 124 91 68 47 73 69 110 85 62 59 85 49 63 38
"gene_9" 2496 1947 2028 2696 2783 2345 1017 1394 1234 1272 1177 1071 1068 1476 1362 1138 915 1167 692 458 974 756 970 811
"gene_10" 1901 1417 1605 1742 1387 1559 864 962 865 962 822 846 695 621 828 736 591 685 712 587 946 716 823 641
"gene_11" 8 5 5 3 12 3 6 1 8 6 4 2 2 15 4 6 2 7 0 0 0 0 0 0
"gene_12" 493 453 674 434 598 379 143 358 289 331 277 271 235 129 123 89 174 157 148 205 142 153 216 70
"gene_13" 2964 3331 2761 2149 1973 3043 1537 1375 1544 1495 1439 1659 2088 1217 1427 1417 1279 1601 999 1088 1548 1122 1175 1750
"gene_14" 1091 1219 1350 1117 1203 1415 652 713 708 654 787 876 635 442 413 336 472 632 339 329 620 332 323 706
"gene_15" 629 581 821 554 470 785 299 371 171 213 460 305 296 309 348 311 380 379 139 158 106 169 138 200
"gene_16" 596 673 980 374 410 710 407 396 458 412 388 461 459 343 547 314 685 546 128 152 209 201 260 230
"gene_17" 24 21 23 18 11 27 11 36 15 17 31 11 8 0 1 6 7 5 24 73 34 19 28 10
"gene_18" 16 18 2 14 16 8 10 19 5 12 28 16 4 4 6 16 2 2 7 7 3 4 1 0
"gene_19" 2108 1983 1675 1864 1599 1830 1039 942 1041 1024 992 1058 1487 1371 1447 1260 1429 1298 636 798 803 643 816 659
"gene_20" 2 6 7 8 12 4 2 12 6 0 7 0 0 0 0 0 0 0 18 3 6 2 14 6
"gene_21" 1254 949 1407 776 1201 943 650 557 768 550 609 834 492 605 714 647 668 315 516 693 894 691 740 696
"gene_22" 119 104 132 112 90 121 158 44 131 88 53 120 10 16 36 15 28 25 116 215 127 143 170 190
"gene_23" 4609 4586 3525 4165 4467 2883 2851 2145 2571 2306 2148 2157 1586 1723 1437 1225 1313 1365 1872 1886 1560 2463 2139 1652
"gene_24" 1166 571 861 881 706 766 534 455 481 442 546 499 272 506 414 173 242 207 344 474 285 603 328 643
"gene_25" 969 923 815 1069 861 814 737 672 581 611 555 558 432 239 341 225 387 459 386 583 417 231 389 388
"gene_26" 1044 462 806 895 598 592 381 566 452 496 558 383 329 415 430 403 388 521 357 569 343 396 289 574
"gene_27" 154 165 106 55 129 86 57 80 97 77 64 91 81 72 132 130 43 72 55 54 63 81 74 55
"gene_28" 2816 3480 2436 3234 2673 2971 2675 2136 2257 1477 1296 2142 1270 998 969 868 805 983 1443 1638 1560 1741 1608 1591
"gene_29" 17355 10909 11376 14517 14977 17508 11216 6535 10228 9087 9577 9108 8357 8481 9374 8625 8084 8692 7268 8537 7707 7819 7015 7552
"gene_30" 961 732 799 920 743 1039 514 622 655 560 466 371 453 377 418 380 518 462 450 632 339 249 496 343
"gene_31" 27 56 38 32 11 8 8 25 28 13 15 28 15 21 6 18 9 11 28 12 12 41 15 49
"gene_32" 967 1480 1013 1053 1128 1105 470 653 603 609 792 856 703 600 515 610 830 632 389 271 324 403 411 363
"gene_33" 567 789 700 830 520 555 241 435 451 377 250 515 247 294 362 209 229 299 306 161 129 66 182 205
"gene_34" 947 957 1153 886 806 1153 483 610 589 773 459 624 347 390 208 340 430 362 487 487 397 468 540 420
"gene_35" 229 189 243 213 202 185 118 144 187 186 109 71 186 126 199 153 137 154 66 41 26 24 30 43
"gene_36" 232 262 205 169 196 251 103 68 132 81 124 126 193 153 170 114 112 175 47 54 52 88 9 37
"gene_37" 159 122 92 82 160 135 94 90 64 53 85 93 83 100 109 115 84 111 62 111 50 91 91 68
"gene_38" 9 7 5 3 10 2 9 3 0 9 2 9 36 6 8 18 4 6 0 2 9 0 0 0
"gene_39" 1656 1554 1801 1416 1536 1503 978 1174 899 936 946 941 932 617 848 709 868 864 767 625 446 807 1084 841
"gene_40" 14101 12734 11533 14316 12104 13079 8629 6969 7760 8787 7062 7964 7152 7047 6928 7842 7791 5553 6492 7623 10598 6705 7349 7404
"gene_41" 197 190 128 133 142 155 115 119 126 63 62 105 74 119 101 65 84 79 67 43 74 34 40 60
"gene_42" 12451 13635 12903 13855 12542 13981 8790 8431 7913 9104 8618 7675 9525 7741 9291 6389 6932 7274 7127 6216 5445 7515 7095 6678
"gene_43" 775 970 825 828 968 745 405 382 517 416 278 494 906 741 572 547 445 784 133 62 94 146 172 125
"gene_44" 3244 3675 3875 3747 3202 3846 2028 1980 2092 1616 2304 2021 1978 1693 2334 2933 2742 2886 1636 1673 1722 1790 1496 1630
"gene_45" 4824 3821 4199 4249 4394 4643 2345 2961 2920 3288 2520 2611 2060 2787 2060 2308 2065 1889 2137 2092 1633 1600 1745 2197
"gene_46" 13862 9687 11425 11153 11236 9465 8867 4402 6750 7165 5679 6965 4698 4980 4927 4203 5063 4679 5344 7574 4949 5193 8262 6440
"gene_47" 1171 1345 1269 1365 871 1510 819 823 765 668 966 889 958 934 983 975 936 852 646 597 460 468 697 512
"gene_48" 454 227 377 516 276 682 219 145 195 309 276 291 110 70 97 132 105 98 243 259 207 332 309 192
"gene_49" 9149 8287 8147 8088 9320 9417 5677 5687 4710 8092 6064 5151 4912 5143 4691 4846 4727 4320 3797 3264 3395 3300 3744 3704
"gene_50" 567 484 667 598 584 615 507 726 295 383 445 481 149 202 176 291 375 295 604 477 393 829 473 803
"gene_51" 818 733 916 710 746 742 495 327 385 425 404 508 82 132 176 195 163 204 148 79 193 147 104 104
"gene_52" 24982 38291 27418 30381 34620 45743 22551 18887 21346 18002 21509 21254 4925 6638 8717 6148 4740 4791 6247 6819 4767 4845 4562 5375
"gene_53" 37765 35141 36970 23811 30830 29784 20512 19609 22229 22280 21297 18032 5975 5772 6458 5152 5069 5160 6032 7127 7398 6417 7040 7273
"gene_54" 16570 16945 16151 14716 15654 18614 8378 10743 9146 10265 11022 10188 2485 2818 3010 2467 3498 2445 2834 2526 3285 3520 3233 2745
"gene_55" 395 490 458 580 493 511 242 277 564 260 338 172 141 113 106 131 160 121 116 107 62 137 171 124
"gene_56" 4150 4884 3714 4710 5240 5806 2791 2634 2657 2734 2668 2881 662 1051 831 689 880 1100 201 143 157 109 278 160
"gene_57" 28924 33074 30678 28943 22089 28223 18262 19441 15682 16265 16621 18578 6972 7996 6953 7166 7223 7165 5823 6065 7814 5061 5267 5899
"gene_58" 12671 10401 13084 11962 13691 9137 6947 8201 6188 5698 7831 6832 1986 2097 2105 1935 2157 2083 1701 1397 1581 1573 2016 1633
"gene_59" 1963 2060 1981 1955 2155 2198 1391 1252 1015 882 1332 1144 334 162 315 294 297 355 561 206 647 222 405 691
"gene_60" 12560 14719 12754 13147 12667 10711 9176 7007 7629 8479 6682 7123 1698 1106 1594 1129 1100 1267 2043 1565 1235 1800 1808 1769
"gene_61" 6397 7820 8835 7312 8186 8273 3953 3784 3826 5205 5393 5062 1158 1174 1319 1170 1159 1265 1545 976 1560 1047 1396 1364
"gene_62" 4713 3802 6271 4555 3363 4803 2752 3045 2847 2577 2969 2598 876 732 979 1285 1275 879 847 691 775 738 646 667
"gene_63" 5580 5519 5956 8387 5592 6262 4675 3054 3888 3794 4513 2853 1256 1018 1410 938 803 951 1166 1099 1448 1439 1291 1131
"gene_64" 34491 31104 36944 35241 34595 27127 21809 24584 22760 20960 20406 26517 7403 4265 6379 5350 6880 5236 4189 5581 5882 6620 4842 5171
"gene_65" 12071 12738 11665 12049 13303 11428 8279 7855 8982 6952 7706 5283 1135 674 1079 943 883 1065 3429 3535 3470 3707 2297 3029
"gene_66" 30298 41572 30433 33030 39220 27792 22509 20885 21257 16421 22601 18886 4694 5411 6759 6666 5799 6201 4710 5139 5333 6337 4840 4513
"gene_67" 716 828 913 698 831 887 293 577 600 430 556 327 66 113 49 68 58 65 22 33 118 45 31 68
"gene_68" 2408 1973 2210 1815 2095 1996 1067 1121 1319 936 1005 986 187 32 115 167 145 137 359 410 415 533 342 560
"gene_69" 2514 2486 2468 2788 2288 2651 1075 1642 1437 1280 1449 1777 236 367 352 289 444 305 379 341 325 369 369 357
"gene_70" 8077 9001 9184 9079 8275 8661 5257 5711 4850 3418 4147 5532 1222 1664 1425 1700 2062 1685 1324 1361 1701 1298 1767 1487
"gene_71" 9185 8983 11036 12984 10356 12071 5070 5720 5951 5453 5381 8006 1566 1978 1745 1977 1924 1892 1259 1414 1138 1195 1417 1011
"gene_72" 1907 1859 1517 1793 1837 1784 1140 1040 1041 1125 1024 969 256 182 254 240 330 295 370 215 383 254 275 305
"gene_73" 26644 22994 30409 36778 42224 23311 22017 24743 25064 18312 22474 24568 5175 4528 4977 5566 4214 4535 6217 6683 5452 6153 6521 5710
"gene_74" 63000 57956 60395 60037 70787 71027 32201 27077 28718 34109 43002 34537 13878 13657 12156 9903 13383 11169 10865 12986 15422 11831 14973 10430
"gene_75" 7556 7622 7957 7239 7404 5676 3061 4860 3119 3775 4906 4380 1365 1903 1136 1746 1418 983 1166 1745 1246 1372 1939 1246
"gene_76" 598 755 755 656 655 709 414 355 466 296 345 402 75 156 119 179 83 117 94 69 49 107 66 107
"gene_77" 18846 18098 17617 20862 19733 18213 18292 6969 12257 12954 10855 8047 1845 3327 1859 2353 2995 1567 3360 2706 2745 3609 3257 3723
"gene_78" 477 492 484 495 391 589 208 413 191 239 306 367 91 40 31 34 44 52 55 73 59 23 45 90
"gene_79" 64804 68771 62957 70289 65684 60545 36848 30092 34992 38884 33399 29338 8700 9240 8706 9478 10313 9788 9801 10964 8302 12507 14104 9482
