"TP1_1" "TP1_2" "TP1_3" "TP1_4" "TP1_5" "TP2_1" "TP2_2" "TP2_3" "TP2_4" "TP2_5" "TP3_1" "TP3_2" "TP3_3" "TP3_4" "TP3_5" "TP4_1" "TP4_2" "TP4_3" "TP4_4" "TP4_5"
"gene_1" 665 721 1007 768 649 1160 1330 1087 1031 1025 628 599 614 626 620 775 485 830 756 620
"gene_2" 50 46 49 38 40 8 10 14 8 8 0 0 0 0 0 32 156 50 36 80
"gene_3" 900 595 663 1045 924 1070 1366 776 1306 869 872 862 790 779 768 942 791 958 711 763
"gene_4" 2866 2886 3255 2212 2689 3116 3122 2963 3541 2758 3853 3366 2413 2435 2708 2442 2751 3027 2856 2649
"gene_5" 18 6 6 1 10 0 0 0 0 0 3 24 5 26 17 0 0 0 0 0
"gene_6" 2255 2186 2604 2187 2961 3418 3101 2215 3348 2611 3313 2413 2177 1810 3031 4749 3637 4402 3568 2911
"gene_7" 62 66 75 59 45 124 111 146 152 252 208 137 159 129 100 132 123 179 95 123
"gene_8" 2232 1844 1780 1628 1870 1587 1861 1744 1826 1841 2111 2053 2645 2059 1990 875 925 639 904 655
"gene_9" 1781 1656 2555 2760 2205 1918 1799 1702 2255 1793 2169 2173 1665 1713 1537 2323 1689 1919 2170 2485
"gene_10" 9168 10681 10304 10087 8324 8644 7462 7690 8126 5672 7642 7902 8552 7516 8194 8263 5629 7131 5827 5755
"gene_11" 4943 5571 6641 3962 3780 4354 4272 4851 3398 3104 4531 5340 6370 4686 3224 3581 4690 3837 4015 4728
"gene_12" 687 673 717 614 698 701 997 689 759 827 705 744 704 633 506 986 861 1121 802 768
"gene_13" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 22 0 3 3
"gene_14" 2687 2667 2125 2634 2409 4352 2865 3088 3359 2557 1480 1501 1978 1768 1966 3229 3460 4424 3560 3544
"gene_15" 0 0 0 0 0 3 0 5 0 0 23 8 18 10 6 4 4 14 18 10
"gene_16" 10 22 8 24 6 26 8 22 13 12 18 15 34 20 8 18 65 83 90 33
"gene_17" 971 1212 749 1417 1298 788 1022 1332 609 1129 644 586 480 704 510 699 937 686 785 1091
"gene_18" 37 36 18 14 21 36 26 77 57 42 84 31 52 25 18 262 87 106 111 156
"gene_19" 29 14 21 23 19 13 41 28 40 33 29 21 14 22 21 4 12 9 8 10
"gene_20" 309 320 353 412 360 197 222 182 232 152 188 138 446 279 298 168 202 205 172 239
"gene_21" 382 538 321 314 410 329 454 555 336 371 390 221 381 334 334 374 444 516 398 352
"gene_22" 1113 1324 1408 1679 1434 2512 2439 2224 2664 2063 2079 1696 1896 1542 1420 1277 1355 1361 1111 1468
"gene_23" 5295 7434 6366 6205 6285 7416 6742 5142 6372 5208 5911 4939 5487 6067 6174 5520 4515 5613 5750 6656
"gene_24" 552 544 745 703 460 352 430 355 516 543 810 627 1326 588 1027 639 651 441 374 584
"gene_25" 995 952 988 836 1414 993 765 763 901 802 985 1122 814 969 887 830 841 916 927 875
"gene_26" 49 13 15 16 31 36 22 26 22 51 9 9 8 10 14 20 12 12 16 14
"gene_27" 5288 4876 4883 5168 4906 5999 5936 6003 6577 7225 5368 4490 4555 5283 4969 5575 6457 5560 7902 7886
"gene_28" 177 272 262 232 283 336 334 312 340 378 274 144 213 267 311 169 120 96 109 175
"gene_29" 9267 15633 9432 11195 11444 12947 13971 14279 12121 15050 13190 11003 12764 14068 7416 10927 13757 11412 12982 12244
"gene_30" 2925 2634 2883 2497 2555 2458 2820 2724 2654 2275 1676 1798 1744 1727 1821 2110 2075 1784 1848 2179
"gene_31" 1935 1598 1707 1990 1737 1702 1197 1899 1291 1851 1345 1351 1433 1649 950 1949 1960 1998 1974 1877
"gene_32" 1303 1268 1018 1196 1342 1858 1701 1855 1613 1535 895 1315 1398 911 824 1207 1115 1449 1252 964
"gene_33" 5213 4331 5882 5744 4741 2857 3057 3290 3186 2512 4297 3100 3656 4429 2273 4170 3836 3448 3217 3196
"gene_34" 4 2 0 0 1 0 0 0 0 0 9 22 15 18 18 0 0 0 0 0
"gene_35" 385 338 387 366 334 463 439 497 483 881 728 411 356 506 401 931 1234 774 979 1016
"gene_36" 4757 4859 4349 4999 4495 5800 5983 5480 5326 5766 2996 3488 4513 3353 3418 5070 4798 4722 5323 4849
"gene_37" 7114 6153 5729 5820 7879 2716 3157 3301 3420 3792 4079 4640 5043 5437 4607 4841 3771 7018 5462 3387
"gene_38" 12716 13290 14911 14589 16548 8428 9071 9084 8158 7315 14920 10321 13119 9432 9945 9798 9454 7701 9647 8540
"gene_39" 1014 632 699 581 725 615 436 615 399 523 396 530 253 499 599 474 727 556 609 487
"gene_40" 5368 5844 5039 3815 5843 5603 6396 7978 6866 5999 5371 4567 4390 6081 5407 6530 8144 6624 6299 6972
"gene_41" 521 520 650 851 625 955 448 456 629 844 305 373 363 326 552 552 298 585 599 338
"gene_42" 747 481 788 656 759 997 955 841 830 920 950 840 1034 942 763 1270 925 1245 954 1516
"gene_43" 456 471 389 536 473 605 371 587 456 342 355 279 421 354 416 483 271 328 282 317
"gene_44" 48 120 44 103 56 52 24 62 102 26 44 41 37 64 88 31 13 34 16 23
"gene_45" 6690 6618 4864 4979 4790 6805 6683 4936 5266 6085 6337 5650 4730 5162 5692 6572 4877 6881 5517 5186
"gene_46" 15 8 6 16 5 98 109 60 85 131 40 48 29 36 23 69 51 55 51 24
"gene_47" 1081 1899 1661 1203 1455 2418 2670 2452 3146 2156 1722 2110 1539 1929 1959 2201 1524 2008 1402 1620
"gene_48" 35 72 65 116 124 34 43 76 97 96 25 55 31 44 47 34 59 45 56 39
"gene_49" 676 449 751 801 790 597 609 379 578 475 457 520 511 460 454 361 335 320 450 387
"gene_50" 1002 617 739 788 831 765 629 917 614 668 876 662 860 895 789 1325 955 1139 1151 1026
"gene_51" 1006 993 763 713 1060 938 1289 848 546 890 1428 1030 1096 604 949 1577 1395 1347 984 1600
"gene_52" 173 161 201 168 119 133 125 108 107 102 91 153 130 123 104 161 94 81 94 163
"gene_53" 36 25 29 25 26 7 9 9 1 2 22 6 15 36 45 15 7 7 19 14
"gene_54" 442 355 425 444 473 375 350 369 354 291 429 404 320 367 357 361 262 360 213 298
"gene_55" 1587 1641 1800 1664 2061 2376 2047 1810 1777 1931 1409 1350 1665 1462 1294 1403 1512 1808 1754 1199
"gene_56" 1941 2160 2266 2067 2089 2671 1971 2083 1907 2367 2156 2543 1868 3392 1833 2436 1796 2006 2588 2068
"gene_57" 35 16 66 28 99 40 59 47 64 35 64 66 93 76 81 36 54 54 26 30
"gene_58" 506 347 395 543 698 387 459 639 617 389 847 747 893 607 923 465 593 1012 592 807
"gene_59" 0 0 0 0 0 0 0 0 0 0 6 13 3 4 2 2 4 10 5 4
"gene_60" 352 306 348 355 342 105 221 230 183 77 199 227 254 274 302 349 361 242 474 292
"gene_61" 184 182 99 135 155 344 480 296 386 495 294 351 180 277 334 54 43 98 82 122
"gene_62" 513 791 882 464 555 646 615 644 681 581 449 559 498 328 919 857 892 723 665 357
"gene_63" 1612 1358 1518 1804 1625 1993 1732 1999 1466 1926 1463 1453 1613 1351 1113 1722 1743 1620 1419 1165
"gene_64" 4616 2794 3521 2387 2956 5858 5109 4792 5471 5146 2087 2273 1834 2143 2336 3817 3276 3641 3580 3636
"gene_65" 3338 3387 3540 3416 4348 2309 2326 2156 2653 2675 2692 2626 2909 3029 3569 2652 3063 2944 2209 2832
"gene_66" 9958 9392 10542 8326 8291 10396 8885 9156 10453 9752 10114 12920 10079 8179 10523 9761 8788 8453 10993 10418
"gene_67" 494 416 421 530 536 517 725 509 700 881 577 809 669 398 1006 756 750 592 807 621
"gene_68" 5812 3735 3767 4542 5185 8325 8299 7811 6363 6716 5109 4297 4638 5301 4442 6976 6752 3837 6685 5738
"gene_69" 1384 1532 2092 1751 1616 2319 2141 2134 1806 1959 1190 1505 1961 892 1393 1436 1411 1351 1680 1802
"gene_70" 2688 2294 2491 2566 2552 2249 2351 2236 1810 1903 2769 2874 2554 3282 2594 3505 4998 2212 3090 3971
"gene_71" 159 180 230 149 152 319 245 382 494 354 144 176 223 180 214 324 288 460 441 228
"gene_72" 259 164 180 196 132 127 116 296 57 72 224 212 106 198 244 187 221 206 149 221
"gene_73" 333 412 360 435 333 339 443 405 405 345 431 438 644 443 571 464 451 408 413 505
"gene_74" 31 47 42 49 40 106 96 107 92 85 23 15 13 58 29 62 86 14 53 41
"gene_75" 1967 1834 1628 2096 2357 1511 1648 1253 1321 1437 1620 1572 1647 1511 1139 2270 2063 2505 2402 2282
"gene_76" 2020 2135 2038 2274 1969 2117 2034 2145 2075 2430 1866 2205 1807 2004 2122 2010 1893 1967 2392 2405
"gene_77" 215 155 242 153 147 83 100 215 173 230 35 33 39 27 30 208 84 97 89 101
"gene_78" 490 491 625 639 445 370 259 303 343 364 493 418 463 358 376 341 410 333 452 465
"gene_79" 22 20 18 10 11 16 17 26 17 26 90 94 66 67 87 24 27 25 10 22
"gene_80" 183 69 139 119 134 138 49 86 81 133 191 151 142 192 111 74 51 148 52 74
"gene_81" 42 75 64 115 61 64 48 62 47 36 152 90 117 62 139 8 5 8 4 7
"gene_82" 1027 960 1046 1019 836 908 1014 814 837 1031 576 683 750 892 860 794 1430 862 1157 1513
"gene_83" 1577 1596 1395 1258 1344 1357 1229 1193 952 973 1014 1032 1024 999 968 1057 951 921 985 972
"gene_84" 335 350 523 277 540 481 361 427 440 410 331 343 317 262 475 518 466 635 593 556
"gene_85" 924 1237 1128 1198 830 1740 1562 1369 1670 1426 903 929 1631 1264 1078 1281 1249 1838 1459 1799
"gene_86" 231 172 203 178 231 62 99 106 85 51 62 134 103 139 72 166 136 105 178 145
"gene_87" 2511 1771 1429 1605 1731 1544 1965 1579 1444 1180 1627 2012 1156 1509 1815 1556 1909 1848 1754 1011
"gene_88" 4908 5866 5328 4291 4644 6314 4441 6116 5488 5174 4931 4304 3665 4903 3693 4047 4531 4203 5621 4678
"gene_89" 719 649 392 489 515 387 288 349 242 304 186 219 204 174 234 172 126 138 80 161
"gene_90" 2641 2679 3765 3308 3134 4401 3681 5164 3262 3578 3590 4060 4127 3700 3978 4659 4132 4818 4053 3331
"gene_91" 1152 938 1205 911 982 1085 1136 839 893 1157 1490 1328 1305 1343 1212 1044 1064 1032 1099 810
"gene_92" 316 313 409 361 247 435 356 556 407 549 190 256 289 284 313 568 651 454 797 367
"gene_93" 3955 5238 3239 4878 4483 3000 3362 3268 3064 3531 3350 3465 4559 3088 4250 3650 3994 3675 4407 3670
"gene_94" 1075 690 765 1000 883 1980 1712 1585 1669 1547 1030 1168 1104 1548 1339 858 772 1116 1387 652
"gene_95" 18 11 27 12 20 76 61 70 111 96 98 60 60 25 51 100 103 56 100 80
"gene_96" 2920 3497 2887 2948 3608 2342 2199 2816 2689 2296 2178 1834 1638 2078 1916 1817 2636 2017 1772 1642
"gene_97" 1769 1713 1891 1800 2731 1969 1827 1234 2493 2178 2454 2309 2460 2420 2462 2547 2645 2996 2713 2654
"gene_98" 572 979 744 662 852 339 448 340 850 424 508 332 531 540 389 1083 742 586 434 969
"gene_99" 235 241 340 503 280 194 253 163 293 324 233 160 312 223 192 256 339 357 285 292
"gene_100" 5003 3770 3703 4754 3516 3720 4516 4116 4370 4167 4977 4212 5213 5481 5264 4542 4452 5082 6115 6013
"gene_101" 1379 1452 1875 1727 1635 1048 1056 1042 893 973 1345 1492 1374 1424 1591 1298 1276 1190 1146 948
"gene_102" 15121 11823 11495 14541 13597 12830 10617 15192 13897 12467 18190 22054 18285 19521 18228 12542 12327 13973 14349 16948
"gene_103" 1510 1271 1483 1279 1530 1204 1480 1005 1145 1154 1543 1707 1603 1508 1449 1527 1415 1846 1324 1707
"gene_104" 6286 6188 5742 6919 4922 4723 7388 4103 6372 4783 7291 5837 7390 6482 8677 6341 5777 5396 6200 7131
"gene_105" 426 340 311 534 420 152 116 191 164 246 443 276 434 463 364 544 317 850 288 580
"gene_106" 2719 3257 2496 2666 2718 1547 1803 1723 1667 1870 2357 2115 1815 2223 2023 3090 2404 2407 2134 2497
"gene_107" 5709 6960 6564 7115 7359 7863 7443 8065 8925 8245 5876 5282 6150 7073 4925 5153 6650 5916 4712 5015
"gene_108" 128 122 172 84 85 439 284 256 498 291 382 161 347 220 358 168 102 181 161 165
"gene_109" 63 33 70 110 42 271 227 303 242 451 112 118 145 161 108 97 136 58 72 79
"gene_110" 282 308 331 344 268 501 311 481 737 646 1063 741 991 775 951 344 361 195 295 459
"gene_111" 4 2 15 6 12 14 20 8 13 20 21 16 27 20 23 1 5 2 17 21
"gene_112" 403 370 462 522 315 652 507 426 518 416 633 514 482 511 428 551 493 605 442 290
"gene_113" 642 760 689 671 736 585 531 477 675 614 332 425 792 594 660 848 931 769 823 744
"gene_114" 1733 2041 1487 2033 1948 2529 2555 2393 2334 2379 1378 1803 1867 1766 1504 1538 2057 1017 1136 915
"gene_115" 0 0 0 0 0 0 6 2 5 7 0 0 0 0 0 0 0 0 0 0
"gene_116" 492 414 449 258 491 343 549 649 403 525 625 478 637 474 325 716 723 756 727 674
"gene_117" 4369 5038 4351 5303 4866 6949 5741 7536 7864 7372 4036 4612 4996 4016 5921 3334 3918 4152 3772 3299
"gene_118" 8326 10595 8378 9189 8391 8991 8316 8615 9125 8708 13095 11710 14521 13584 11820 10220 11051 8582 9528 10608
"gene_119" 2444 2549 2261 2629 2735 1439 1795 1052 1466 1199 3006 2691 2450 2689 3013 1708 1961 2287 2285 1871
"gene_120" 2803 3255 3154 2775 3396 3587 3107 2630 2882 3273 3894 2898 3443 3625 3031 4991 4249 4630 4992 4699
"gene_121" 7120 7254 6373 7195 8155 8040 7580 5641 5987 5803 4771 6438 6362 8280 6486 6460 7865 7804 7332 7445
"gene_122" 2503 2480 2644 2564 2656 1682 1344 1247 1840 1945 3008 3108 2906 2425 2603 2277 1749 2072 2319 2659
"gene_123" 438 407 489 535 477 492 189 565 487 233 505 757 587 676 712 541 499 439 597 518
"gene_124" 0 0 0 0 0 0 0 0 0 0 13 26 47 39 6 23 24 96 60 30
"gene_125" 155 241 196 141 102 166 171 273 169 156 238 216 92 57 199 145 125 82 158 198
"gene_126" 316 361 308 355 243 520 382 333 339 464 385 417 446 454 441 438 278 318 424 390
"gene_127" 24 34 6 16 47 12 14 22 6 5 12 5 16 6 12 42 29 40 53 32
"gene_128" 7383 7651 6268 6578 7279 6010 5179 5794 5146 5678 5224 9242 5741 7221 7638 7383 6773 8202 4866 7583
"gene_129" 4847 5648 4712 6194 5119 5792 4845 5828 6132 8174 8597 7708 8819 6745 7682 7214 7044 7817 6754 6799
"gene_130" 1151 782 886 956 1088 1573 1613 1049 1363 1614 2240 1201 1646 1362 1483 975 925 955 1189 1111
"gene_131" 283 135 204 307 286 569 530 339 422 534 266 262 223 252 246 311 302 348 333 305
"gene_132" 0 0 0 0 0 18 33 21 36 38 99 114 94 71 108 2 1 0 1 3
"gene_133" 7898 7218 5014 9639 7352 6428 6162 3879 7362 6347 5577 5463 4797 6736 5851 3899 4430 5206 4430 4826
"gene_134" 89 60 104 78 87 146 86 149 95 109 124 118 131 81 162 51 81 56 50 31
"gene_135" 1271 1195 1425 1082 1069 1194 1354 1328 1034 1534 721 418 927 838 821 831 851 606 655 638
"gene_136" 18 12 4 22 19 47 81 92 38 57 106 66 31 58 19 78 26 25 36 129
"gene_137" 339 162 101 173 100 56 136 62 133 68 402 393 602 256 509 14 18 22 18 17
"gene_138" 998 1352 1239 1330 1070 1265 1808 2044 1467 2130 1324 1670 1991 1798 1291 1619 2243 1727 1648 1824
"gene_139" 44 54 21 9 23 83 47 132 75 61 61 28 14 26 24 17 37 57 57 21
"gene_140" 1385 1230 1685 1246 1624 1391 1915 1377 1778 1354 1902 1500 1640 1773 1788 1389 1580 1941 1636 2037
"gene_141" 12079 14641 14944 12896 13248 17742 19234 18089 11378 15007 19169 17197 16291 20371 16823 14297 13235 19079 16695 14086
"gene_142" 497 666 607 626 656 525 536 725 621 712 626 554 464 401 700 553 692 608 528 714
"gene_143" 1561 1936 2551 2364 2305 1762 1755 1843 1745 2467 2418 2651 2721 2921 2347 2768 2991 2824 2290 3019
"gene_144" 2392 2720 2901 2798 2235 4276 5029 4850 4602 4702 2956 2812 2071 2882 2757 2913 2926 3158 2700 3124
"gene_145" 1081 1261 766 733 816 530 744 617 587 627 826 471 746 417 452 1011 976 867 821 800
"gene_146" 488 465 400 395 490 612 702 361 926 561 431 447 449 503 452 370 386 336 328 764
"gene_147" 1259 1344 1359 1047 1376 1834 1452 1413 1033 1083 1825 1129 1399 1499 1378 1329 1190 1591 1148 1263
"gene_148" 942 734 1119 816 1063 1052 1611 1472 1112 1236 1088 1124 1160 1147 1080 1145 837 1205 608 1452
"gene_149" 422 236 394 418 355 399 554 280 457 457 312 327 383 288 415 165 263 256 228 170
"gene_150" 850 869 917 942 994 653 379 449 611 511 366 353 522 395 414 405 267 474 548 507
"gene_151" 231 201 297 364 300 191 183 295 211 182 253 301 286 262 274 557 549 502 387 417
"gene_152" 7466 6115 8108 10273 7728 8313 7563 7352 7185 9944 8125 8168 8318 10226 9319 8482 6269 5980 6977 7782
"gene_153" 291 424 327 347 385 741 1151 866 1016 908 611 477 688 520 605 690 428 472 366 589
"gene_154" 585 432 435 453 522 898 1033 749 857 1070 1178 1669 1193 2300 1641 654 1145 944 1419 1454
"gene_155" 14 11 5 6 5 10 14 1 6 2 16 6 10 15 15 15 24 15 14 37
"gene_156" 3385 3192 2974 2884 3336 1774 2753 2768 1757 3151 4884 3786 4744 4977 4965 2228 2889 2375 2795 2484
"gene_157" 975 842 728 749 1021 642 944 691 730 805 571 541 392 515 501 1637 1756 1180 1295 1009
"gene_158" 825 1064 941 900 1184 775 813 946 1033 1153 1088 859 785 1056 897 743 1281 931 791 1039
"gene_159" 10334 8989 8856 8027 10511 8843 8330 5518 5769 8480 7969 6827 8901 12388 9233 13408 11661 13031 10764 13576
"gene_160" 106 90 123 79 69 154 84 145 101 34 191 252 232 225 186 139 157 152 122 173
"gene_161" 396 408 190 184 426 516 540 384 457 401 300 296 323 178 352 162 213 136 156 114
"gene_162" 254 209 151 201 208 55 110 178 141 115 153 190 182 312 140 124 146 93 116 161
"gene_163" 2016 2415 2144 1729 2547 2538 3101 2574 2783 2361 2063 2339 1553 1863 1420 2436 2661 2932 3165 2653
"gene_164" 1046 1180 1367 1143 922 2221 2124 1649 2173 2172 1899 1672 1493 1674 1777 2401 1648 2447 1719 1134
"gene_165" 6293 6062 4620 7655 8198 7624 6853 6826 6698 6013 7963 6756 7849 7553 7161 5725 5326 9761 7294 5099
"gene_166" 1479 1835 2025 1845 1600 2072 2392 2152 2647 2314 864 973 1087 1690 1733 1230 1188 1128 1572 1131
"gene_167" 0 10 0 3 11 0 0 0 0 0 0 0 0 0 0 16 16 12 9 41
"gene_168" 52 28 49 11 57 2 13 1 16 4 74 74 55 106 74 4 4 2 0 9
"gene_169" 665 825 658 638 619 233 664 474 252 248 666 295 938 409 548 437 507 505 548 613
"gene_170" 15 5 14 28 10 1 10 8 1 23 16 92 51 82 46 29 5 18 16 11
"gene_171" 4484 5048 5926 4527 4504 6153 6449 5256 5188 5701 2340 3241 2298 3096 3027 4616 4416 4349 4245 4859
"gene_172" 2001 2564 2253 1885 2107 2589 3030 4067 2409 2665 2032 2441 2329 2176 2191 1956 1540 1729 1673 1621
"gene_173" 20 33 32 18 14 31 20 45 38 13 64 18 37 67 75 10 18 8 8 15
"gene_174" 211 67 169 75 139 308 274 231 345 298 201 218 245 198 240 257 209 223 187 190
"gene_175" 4711 3750 4482 5782 4949 2802 2521 2161 1790 2474 2493 4268 3305 2100 2794 3220 3322 3093 2864 3254
"gene_176" 22 32 24 40 21 39 24 17 40 20 18 39 6 11 7 18 10 15 14 12
"gene_177" 4618 3617 5344 5212 4252 5665 5040 6677 5994 4374 6113 6630 6622 7708 6373 5368 4694 5268 3865 4419
"gene_178" 1580 1908 1843 1466 1665 1612 1671 1553 1676 1743 841 899 1240 1093 1113 1482 1218 1048 1044 988
"gene_179" 3035 2679 2963 2619 2940 4642 5249 4502 4825 3258 2229 2393 3386 3078 2249 2483 2207 2200 2119 2367
"gene_180" 381 394 307 367 358 232 259 347 278 366 365 373 727 325 265 467 431 383 332 369
"gene_181" 1040 1057 676 843 532 239 248 201 242 313 189 238 283 307 193 313 364 306 339 247
"gene_182" 559 532 498 654 710 652 768 668 638 640 520 465 636 553 601 572 547 775 688 591
"gene_183" 155 116 162 144 139 137 204 130 131 144 300 198 188 217 171 317 297 355 205 229
"gene_184" 1268 1458 1034 1324 1236 770 574 483 494 654 827 1077 1014 977 1124 241 385 354 324 461
"gene_185" 4 0 1 2 7 0 0 0 0 0 0 0 0 0 0 6 6 2 5 2
"gene_186" 6 16 28 11 22 13 12 3 14 10 12 3 2 4 8 0 0 0 0 0
