"V1" "V2" "V3" "V4" "V5" "V11" "V12" "V13" "V14" "V15" "V21" "V22" "V23" "V24" "V25" "V31" "V32" "V33" "V34" "V35"
"1" 1436 1600 1555 1340 1391 1128 844 968 919 704 701 479 706 489 482 642 820 689 502 725
"2" 91 71 54 28 86 50 62 18 50 41 0 0 0 0 0 43 36 34 99 35
"3" 1913 1411 1354 1666 1848 1165 688 1239 1231 1062 748 947 734 1056 600 850 849 919 755 1043
"4" 5594 5056 4120 6813 4296 3385 2676 2556 3253 2952 2006 2650 3607 3259 3250 2943 2340 2717 1950 2390
"5" 22 12 1 12 2 2 6 26 1 1 9 11 37 3 12 0 0 0 0 0
"6" 5339 5579 7705 4581 6493 3762 3535 3062 2408 2831 2741 2539 3714 2651 2518 3165 3063 2780 3475 4218
"7" 378 260 227 282 181 138 159 116 190 212 175 192 125 152 159 196 240 140 161 119
"8" 3321 3034 3301 3196 3521 2081 1419 1764 1374 1663 1762 1769 2039 2244 1745 774 1020 389 526 820
"9" 3952 4633 4844 3233 4172 2353 2309 2551 2269 2688 1753 2183 1777 2216 1865 2335 2055 1709 1924 2138
"10" 13018 16411 13316 13853 14897 9498 6876 10216 8075 8765 5949 6929 8893 7264 6547 7143 5008 5891 5175 6591
"11" 9722 12086 9732 9134 9453 8677 6852 5115 5483 7010 4820 6117 4741 5173 4500 4102 4396 4399 4091 4618
"12" 1008 1447 1322 1266 1204 1085 1180 686 669 1319 632 860 828 514 781 1129 549 821 903 964
"13" 0 4 1 3 3 2 1 0 1 1 0 0 0 0 0 2 11 3 3 13
"14" 5787 5327 4922 5097 4900 3428 3029 3753 3926 2960 1497 1774 1947 1813 2499 3892 3417 3819 2777 5441
"15" 22 14 14 12 6 6 14 15 2 6 7 23 10 20 35 2 15 24 11 12
"16" 71 46 48 38 18 22 34 42 78 28 28 19 40 14 29 91 18 56 36 76
"17" 1478 1480 1544 1830 2013 968 1134 835 1096 710 502 382 430 349 526 782 725 896 874 418
"18" 121 179 112 185 99 37 103 96 99 55 33 71 40 17 43 170 236 174 157 114
"19" 34 53 53 29 58 50 42 35 34 19 4 24 24 29 52 3 10 6 5 14
"20" 484 609 263 490 602 375 342 329 373 255 201 314 281 299 298 209 171 169 178 188
"21" 1128 1110 850 844 789 487 546 388 492 630 292 406 561 395 501 656 565 522 528 545
"22" 3693 2621 3078 3717 3630 1420 1641 1202 1680 1928 1914 2032 1164 1564 2126 1428 1327 1247 1288 1135
"23" 14535 12361 12979 11690 12421 7961 6631 7410 6031 7759 6918 5823 5837 5970 6032 6704 4531 7886 5406 5032
"24" 1195 1280 1512 1111 1505 650 883 385 841 474 707 1234 355 1079 1141 530 460 529 699 537
"25" 1888 1951 2042 1658 1762 1009 1173 1021 1105 1068 1310 803 845 946 911 889 970 914 827 966
"26" 32 30 17 55 18 14 15 31 11 20 16 13 12 18 12 6 2 16 19 5
"27" 13811 12631 12376 11971 12055 7264 6755 7019 6373 8702 5319 5036 4788 6059 5262 7757 7684 8624 5578 6265
"28" 428 563 509 312 396 445 365 200 294 334 227 140 263 98 219 113 105 122 179 111
"29" 28810 21214 29362 21008 26945 15353 13385 14683 11631 11870 15357 12230 13522 8368 13275 13292 13884 14556 13581 13928
