"TP1_1" "TP1_2" "TP1_3" "TP2_1" "TP2_2" "TP2_3" "TP3_1" "TP3_2" "TP3_3" "TP4_1" "TP4_2" "TP4_3"
"gene_1" 403 437 610 703 806 659 381 363 372 470 294 503
"gene_2" 30 28 30 5 6 8 0 0 0 19 95 30
"gene_3" 545 361 402 648 828 470 528 522 479 571 479 581
"gene_4" 1737 1749 1973 1888 1892 1796 2335 2040 1462 1480 1667 1835
"gene_5" 11 4 4 0 0 0 2 15 3 0 0 0
"gene_6" 1367 1325 1578 2072 1879 1342 2008 1462 1319 2878 2204 2668
"gene_7" 38 40 45 75 67 88 126 83 96 80 75 108
"gene_8" 1353 1118 1079 962 1128 1057 1279 1244 1603 530 561 387
"gene_9" 1079 1004 1548 1162 1090 1032 1315 1317 1009 1408 1024 1163
"gene_10" 5556 6473 6245 5239 4522 4661 4632 4789 5183 5008 3412 4322
"gene_11" 2996 3376 4025 2639 2589 2940 2746 3236 3861 2170 2842 2325
"gene_12" 416 408 435 425 604 418 427 451 427 598 522 679
"gene_13" 0 0 0 0 0 0 0 0 0 6 13 0
"gene_14" 1628 1616 1288 2638 1736 1872 897 910 1199 1957 2097 2681
"gene_15" 0 0 0 2 0 3 14 5 11 2 2 8
"gene_16" 6 13 5 16 5 13 11 9 21 11 39 50
"gene_17" 588 735 454 478 619 807 390 355 291 424 568 416
"gene_18" 22 22 11 22 16 47 51 19 32 159 53 64
"gene_19" 18 8 13 8 25 17 18 13 8 2 7 5
"gene_20" 187 194 214 119 135 110 114 84 270 102 122 124
"gene_21" 232 326 195 199 275 336 236 134 231 227 269 313
"gene_22" 675 802 853 1522 1478 1348 1260 1028 1149 774 821 825
"gene_23" 3209 4505 3858 4495 4086 3116 3582 2993 3325 3345 2736 3402
"gene_24" 335 330 452 213 261 215 491 380 804 387 395 267
"gene_25" 603 577 599 602 464 462 597 680 493 503 510 555
"gene_26" 30 8 9 22 13 16 5 5 5 12 7 7
"gene_27" 3205 2955 2959 3636 3598 3638 3253 2721 2761 3379 3913 3370
"gene_28" 107 165 159 204 202 189 166 87 129 102 73 58
"gene_29" 5616 9475 5716 7847 8467 8654 7994 6668 7736 6622 8338 6916
"gene_30" 1773 1596 1747 1490 1709 1651 1016 1090 1057 1279 1258 1081
"gene_31" 1173 968 1035 1032 725 1151 815 819 868 1181 1188 1211
"gene_32" 790 768 617 1126 1031 1124 542 797 847 732 676 878
"gene_33" 3159 2625 3565 1732 1853 1994 2604 1879 2216 2527 2325 2090
"gene_34" 2 1 0 0 0 0 5 13 9 0 0 0
"gene_35" 233 205 235 281 266 301 441 249 216 564 748 469
"gene_36" 2883 2945 2636 3515 3626 3321 1816 2114 2735 3073 2908 2862
"gene_37" 4312 3729 3472 1646 1913 2001 2472 2812 3056 2934 2285 4253
