"V1" "V2" "V3" "V11" "V12" "V13" "V21" "V22" "V23" "V31" "V32" "V33"
"1" 1231 1371 1333 967 723 830 601 411 605 550 703 591
"2" 78 61 46 43 53 15 0 0 0 37 31 29
"3" 1640 1209 1161 999 590 1062 641 812 629 729 728 788
"4" 4795 4334 3531 2901 2294 2191 1719 2271 3092 2523 2006 2329
"5" 19 10 1 2 5 22 8 9 32 0 0 0
"6" 4576 4782 6604 3225 3030 2625 2349 2176 3183 2713 2625 2383
"7" 324 223 195 118 136 99 150 165 107 168 206 120
"8" 2847 2601 2829 1784 1216 1512 1510 1516 1748 663 874 333
"9" 3387 3971 4152 2017 1979 2187 1503 1871 1523 2001 1761 1465
"10" 11158 14067 11414 8141 5894 8757 5099 5939 7623 6123 4293 5049
"11" 8333 10359 8342 7437 5873 4384 4131 5243 4064 3516 3768 3771
"12" 864 1240 1133 930 1011 588 542 737 710 968 471 704
"13" 0 3 1 2 1 0 0 0 0 2 9 3
"14" 4960 4566 4219 2938 2596 3217 1283 1521 1669 3336 2929 3273
"15" 19 12 12 5 12 13 6 20 9 2 13 21
"16" 61 39 41 19 29 36 24 16 34 78 15 48
"17" 1267 1269 1323 830 972 716 430 327 369 670 621 768
"18" 104 153 96 32 88 82 28 61 34 146 202 149
"19" 29 45 45 43 36 30 3 21 21 3 9 5
"20" 415 522 225 321 293 282 172 269 241 179 147 145
"21" 967 951 729 417 468 333 250 348 481 562 484 447
"22" 3165 2247 2638 1217 1407 1030 1641 1742 998 1224 1137 1069
"23" 12459 10595 11125 6824 5684 6351 5930 4991 5003 5746 3884 6759
"24" 1024 1097 1296 557 757 330 606 1058 304 454 394 453
"25" 1618 1672 1750 865 1005 875 1123 688 724 762 831 783
"26" 27 26 15 12 13 27 14 11 10 5 2 14
"27" 11838 10827 10608 6226 5790 6016 4559 4317 4104 6649 6586 7392
"28" 367 483 436 381 313 171 195 120 225 97 90 105
"29" 24694 18183 25167 13160 11473 12585 13163 10483 11590 11393 11901 12477
"30" 4351 3752 4131 1940 2770 2010 1727 1539 1736 1452 1516 1763
"31" 3412 2699 3039 1969 1617 2210 1263 1391 1760 1862 1602 1528
"32" 1714 2882 2043 1520 1673 1071 958 1134 860 1111 943 1080
"33" 7773 5645 7364 4761 4909 2837 2817 3936 2517 2456 2486 2551
"34" 12 16 21 3 2 2 6 10 21 0 0 0
"35" 1226 1146 996 644 639 588 279 540 345 825 1119 779
"36" 8236 8803 7395 5748 5595 5118 3324 3196 2823 4085 5081 4281
"37" 7115 9824 11444 5809 5889 4881 3774 4169 4893 5018 5374 4989
"38" 13406 20365 18816 11985 12942 9593 9063 6603 10061 7720 7600 7733
"39" 1162 1078 770 537 609 706 294 401 284 657 717 332
"40" 8509 10030 7969 6027 5943 6062 4521 4149 4667 5818 6645 6318
"41" 609 961 855 605 399 566 251 293 298 353 254 549
"42" 1279 1553 1251 940 1087 819 497 458 490 1011 1038 1305
"43" 660 617 721 348 401 370 297 303 273 297 290 354
"44" 40 100 99 67 88 53 39 39 49 21 10 27
"45" 8144 12125 13479 5524 5433 5039 4740 5561 5124 4758 6436 5783
"46" 57 87 55 15 39 33 48 44 34 11 15 34
"47" 3171 3198 3682 2049 2052 1996 1554 1707 1369 1389 1392 1341
"48" 121 86 84 24 66 110 33 23 52 60 48 85
"49" 679 765 936 462 471 744 583 467 544 285 314 341
"50" 1737 1150 1739 859 794 756 573 727 795 594 981 882
"51" 6123 6455 4995 3247 4163 4806 841 1082 647 1499 1275 1520
"52" 810 680 933 594 539 287 124 69 164 153 117 59
"53" 86 56 135 114 90 45 25 9 16 14 13 6
"54" 1360 2030 1431 969 846 1449 328 301 261 219 331 242
"55" 10269 13433 7957 4554 6039 4913 1017 1678 932 1401 1365 1231
"56" 12237 10155 10568 6826 6139 6673 1862 2174 1433 1997 1557 2090
"57" 239 316 195 105 201 155 70 54 49 36 45 18
"58" 3413 3411 3100 1686 1691 1857 622 735 586 581 460 419
"59" 36 26 7 2 28 10 4 5 8 4 7 9
"60" 1412 1198 1552 730 945 933 158 178 195 232 205 291
"61" 898 972 866 799 707 679 274 382 324 79 80 50
"62" 4581 3036 3959 2396 1715 2460 483 439 398 708 829 645
"63" 7899 8225 10069 4845 4593 4649 987 1062 1208 1079 904 1081
"64" 16512 20696 12961 10759 10551 10617 1426 2032 1985 3527 3185 3489
"65" 16528 14331 16681 9871 7977 7958 2295 2601 2462 2883 1907 2342
"66" 44787 45184 39408 24837 31697 22256 9243 6987 6953 6843 7354 8100
"67" 3057 2477 3258 1642 1833 2311 504 501 460 711 613 614
"68" 25355 35475 27411 16857 16248 16743 3515 3741 3543 6198 4599 4434
"69" 7719 9607 8897 4541 4714 4652 1182 1130 1596 1521 1171 1127
"70" 12656 13577 12083 8664 7743 9139 1888 2255 3033 2805 2523 2950
"71" 1094 1048 1021 914 679 831 97 98 256 308 268 302
"72" 864 855 920 474 768 445 190 181 117 233 160 212
"73" 2199 1885 2197 1507 1455 1277 394 385 287 419 305 558
"74" 202 183 234 108 165 70 15 21 27 27 77 44
"75" 10373 9599 10646 4934 7461 5307 1359 1293 1191 1261 2111 2540
"76" 10522 10579 12418 7043 6153 6434 1715 1546 1585 1292 1583 1806
"77" 754 622 564 369 245 293 33 41 39 120 117 100
"78" 1778 2059 1865 1245 2273 1050 558 334 414 356 406 276
"79" 189 165 213 123 49 83 104 73 56 27 11 9
"80" 603 664 597 302 297 174 111 133 122 106 71 40
"81" 198 391 259 157 225 148 57 42 111 8 9 3
"82" 5313 4134 6109 3099 2673 2461 609 1092 669 873 849 783
"83" 6081 5505 6812 3748 2331 3501 780 871 617 1270 933 972
"84" 1886 2651 1929 1104 1330 1131 294 358 337 313 437 442
"85" 7073 9307 5979 4125 3977 4058 1416 1076 956 1415 1422 1509
"86" 741 419 803 426 408 452 56 44 50 185 183 121
"87" 8215 7446 8185 4966 6536 4566 1830 1483 1497 926 998 1259
"88" 19475 27639 28223 12304 15822 15867 3513 3699 4546 4256 3658 4863
"89" 1764 1263 1599 867 937 900 67 222 240 68 67 146
"90" 23404 23580 21711 14253 12243 11144 3520 3884 3128 3474 3525 2883
"91" 5423 7059 6869 2904 3038 3488 1269 1440 1144 981 1093 1143
