ENSG00000148288 GBGT1 gene_1
ENSG00000222592 RNU6-887P gene_2
ENSG00000100162 CENPM gene_3
ENSG00000166887 VPS39 gene_4
ENSG00000186715 MST1L gene_5
ENSG00000249931 GOLGA8K gene_6
ENSG00000238606 RNU7-7P gene_7
ENSG00000229686 SNORD56 gene_8
ENSG00000184110 EIF3C gene_9
ENSG00000186532 SMYD4 gene_10
ENSG00000148908 RGS10 gene_11
ENSG00000104760 FGL1 gene_12
ENSG00000198746 GPATCH3 gene_13
ENSG00000159210 SNF8 gene_14
ENSG00000103194 USP10 gene_15
ENSG00000105428 ZNRF4 gene_16
ENSG00000116001 TIA1 gene_17
ENSG00000232230 TPM4P1 gene_18
ENSG00000228564 LINC01005 gene_19
ENSG00000207736 MIR657 gene_20
ENSG00000177243 DEFB103B gene_21
ENSG00000235339 GEMIN2P2 gene_22
ENSG00000114115 RBP1 gene_23
ENSG00000185739 SRL gene_24
ENSG00000198561 CTNND1 gene_25
ENSG00000117016 RIMS3 gene_26
ENSG00000162840 MT2P1 gene_27
ENSG00000143947 RPS27A gene_28
ENSG00000135569 TAAR5 gene_29
ENSG00000264907 PRELID3BP3 gene_30
ENSG00000272414 FAM47E-STBD1 gene_31
ENSG00000227102 OR2AS1P gene_32
ENSG00000235133 RPL35AP22 gene_33
ENSG00000263445 MIR4450 gene_34
ENSG00000101193 GID8 gene_35
ENSG00000138166 DUSP5 gene_36
ENSG00000054598 FOXC1 gene_37
ENSG00000203668 CHML gene_38
ENSG00000225083 GRTP1-AS1 gene_39
ENSG00000230101 TUBB3P2 gene_40
ENSG00000204663 CST13P gene_41
ENSG00000136231 IGF2BP3 gene_42
ENSG00000137221 TJAP1 gene_43
ENSG00000254985 RSF1-IT2 gene_44
ENSG00000196932 TMEM26 gene_45
ENSG00000223189 RNU6-177P gene_46
ENSG00000198039 ZNF273 gene_47
ENSG00000221017 MIR1323 gene_48
ENSG00000223839 FAM95B1 gene_49
ENSG00000197774 EME2 gene_50
ENSG00000050426 LETMD1 gene_51
ENSG00000215039 CD27-AS1 gene_52
ENSG00000239917 RPS10P16 gene_53
ENSG00000265878 MIR3914-1 gene_54
ENSG00000237207 RBM17P3 gene_55
ENSG00000130758 MAP3K10 gene_56
ENSG00000211905 IGHJ1 gene_57
ENSG00000170373 CST1 gene_58
ENSG00000260762 ACSM5P1 gene_59
ENSG00000280916 FOXCUT gene_60
ENSG00000253491 IGHVII-30-1 gene_61
ENSG00000276844 SNORD115-46 gene_62
ENSG00000085185 BCORL1 gene_63
ENSG00000211649 IGLV7-46 gene_64
ENSG00000182896 TMEM95 gene_65
ENSG00000144671 SLC22A14 gene_66
ENSG00000275052 PPP4R3B gene_67
ENSG00000162078 ZG16B gene_68
ENSG00000083814 ZNF671 gene_69
ENSG00000274988 MIR6876 gene_70
ENSG00000164181 ELOVL7 gene_71
ENSG00000115657 ABCB6 gene_72
ENSG00000232264 USP17L24 gene_73
ENSG00000206621 SNORD116-14 gene_74
ENSG00000082996 RNF13 gene_75
ENSG00000132294 EFR3A gene_76
ENSG00000115109 EPB41L5 gene_77
ENSG00000225536 STIP1P3 gene_78
ENSG00000064933 PMS1 gene_79
ENSG00000154727 GABPA gene_80
ENSG00000166961 MS4A15 gene_81
ENSG00000134198 TSPAN2 gene_82
ENSG00000204130 RUFY2 gene_83
ENSG00000271024 HSPE1P19 gene_84
ENSG00000168826 ZBTB49 gene_85
ENSG00000143194 MAEL gene_86
ENSG00000214020 FTLP4 gene_87
ENSG00000207980 MIR23A gene_88
ENSG00000207369 RNU6-665P gene_89
ENSG00000207782 MIR150 gene_90
ENSG00000167193 CRK gene_91
ENSG00000158748 HTR6 gene_92
ENSG00000218512 SPTLC1P2 gene_93
ENSG00000249858 SNX5P1 gene_94
ENSG00000011677 GABRA3 gene_95
ENSG00000235899 LINC01564 gene_96
ENSG00000183648 NDUFB1 gene_97
ENSG00000006712 PAF1 gene_98
ENSG00000182979 MTA1 gene_99
ENSG00000249917 LINC00536 gene_100
ENSG00000198182 ZNF607 gene_101
ENSG00000158485 CD1B gene_102
ENSG00000182095 TNRC18 gene_103
ENSG00000255394 C8orf49 gene_104
ENSG00000271086 NAMA gene_105
ENSG00000188070 C11orf95 gene_106
ENSG00000118017 A4GNT gene_107
ENSG00000114316 USP4 gene_108
ENSG00000168928 CTRB2 gene_109
ENSG00000213707 HMGB1P10 gene_110
ENSG00000164124 TMEM144 gene_111
ENSG00000144481 TRPM8 gene_112
ENSG00000182508 LHFPL1 gene_113
ENSG00000204669 C9orf57 gene_114
ENSG00000132207 SLX1A gene_115
ENSG00000265574 WDR45BP1 gene_116
ENSG00000134107 BHLHE40 gene_117
ENSG00000105357 MYH14 gene_118
ENSG00000271687 MTND5P10 gene_119
ENSG00000146904 EPHA1 gene_120
ENSG00000238917 SNORD10 gene_121
ENSG00000213189 BTF3L4P2 gene_122
ENSG00000253250 C8orf88 gene_123
ENSG00000252716 RN7SKP260 gene_124
ENSG00000197157 SND1 gene_125
ENSG00000204176 SYT15 gene_126
ENSG00000109787 KLF3 gene_127
ENSG00000250334 LINC00989 gene_128
ENSG00000112232 KHDRBS2 gene_129
ENSG00000221667 MIR1825 gene_130
ENSG00000116819 TFAP2E gene_131
ENSG00000230282 RPL7P61 gene_132
ENSG00000142609 CFAP74 gene_133
ENSG00000238498 SNORD13P1 gene_134
ENSG00000223516 AFF2-IT1 gene_135
ENSG00000118564 FBXL5 gene_136
ENSG00000102554 KLF5 gene_137
ENSG00000196141 SPATS2L gene_138
ENSG00000145623 OSMR gene_139
ENSG00000231206 HNRNPA1P25 gene_140
ENSG00000206712 RNU6-26P gene_141
ENSG00000275340 FGD5P1 gene_142
ENSG00000174327 SLC16A13 gene_143
ENSG00000204657 OR2H2 gene_144
ENSG00000136270 TBRG4 gene_145
ENSG00000180626 ZNF594 gene_146
ENSG00000221880 KRTAP1-3 gene_147
ENSG00000273700 MIR6760 gene_148
ENSG00000164434 FABP7 gene_149
ENSG00000265675 RN7SL708P gene_150
ENSG00000175985 PLEKHD1 gene_151
ENSG00000200350 RNU6-1285P gene_152
ENSG00000153714 LURAP1L gene_153
ENSG00000266236 NARF-IT1 gene_154
ENSG00000264831 MIR4260 gene_155
ENSG00000004534 RBM6 gene_156
ENSG00000211845 TRAJ44 gene_157
ENSG00000211867 TRAJ22 gene_158
ENSG00000197779 ZNF81 gene_159
ENSG00000166415 WDR72 gene_160
ENSG00000199704 SNORD115-29 gene_161
ENSG00000109063 MYH3 gene_162
ENSG00000167874 TMEM88 gene_163
ENSG00000241839 PLEKHO2 gene_164
ENSG00000160868 CYP3A4 gene_165
ENSG00000179611 DGKZP1 gene_166
ENSG00000225855 RUSC1-AS1 gene_167
ENSG00000085449 WDFY1 gene_168
ENSG00000100888 CHD8 gene_169
ENSG00000158560 DYNC1I1 gene_170
ENSG00000238169 LINC01053 gene_171
ENSG00000213722 DDAH2 gene_172
ENSG00000110075 PPP6R3 gene_173
ENSG00000085514 PILRA gene_174
ENSG00000226873 CDY14P gene_175
ENSG00000180723 OR51A9P gene_176
ENSG00000214198 TTC41P gene_177
ENSG00000161203 AP2M1 gene_178
ENSG00000200389 RNU6-509P gene_179
ENSG00000243338 RN7SL307P gene_180
ENSG00000075975 MKRN2 gene_181
ENSG00000258567 DUX4L16 gene_182
ENSG00000201423 RN7SKP246 gene_183
ENSG00000118231 CRYGD gene_184
ENSG00000231765 PPP1R11P2 gene_185
ENSG00000072134 EPN2 gene_186
ENSG00000039068 CDH1 gene_187
ENSG00000164136 IL15 gene_188
